City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bredasdorp,-34.5322,20.0403,46.27,81,100,5.75,ZA,1633210772
84,acheng,45.5454,126.977,53.53,63,99,13.91,CN,1633210772
85,nalobikha,53.2006,84.6039,31.03,92,100,10.27,RU,1633210772
86,nantucket,41.2835,-70.0995,69.91,71,1,21.85,US,1633210773
87,krasnoselkup,65.7,82.4667,28.15,96,100,8.93,RU,1633210773
88,lagoa,39.05,-27.9833,70.59,90,98,15.75,PT,1633210773
89,santa clara,22.4,-79.9667,82.06,74,75,10.36,CU,1633210773
90,tuktoyaktuk,69.4541,-133.0374,37.4,93,90,10.36,CA,1633210773
91,mariinskiy posad,56.115,47.718,45.54,91,100,3.31,RU,1633210773
92,jalu,29.0331,21.5482,72.77,42,0,8.75,LY,1633210773
93,kapaa,22.0752,-159.319,82.72,69,75,5.01,US,1633210773
94,roald,62.5833,6.1333,51.33,93,32,6.91,NO,1633210773
95,la rioja,42.25,-2.5,62.04,45,100,9.04,ES,1633210773
96,atuona,-9.8,-139.0333,78.06,73,22,21.68,PF,1633210773
97,pyshchug,58.8873,45.7134,43.38,96,100,2.17,RU,1633210773
98,chirongui,-12.9319,45.1483,75.13,74,63,10.76,YT,1633210773
99,severo-kurilsk,50.6789,156.125,47.44,96,100,29.39,RU,1633210774
100,weiser,44.251,-116.9693,79.61,34,78,3.15,US,1633210774
101,thompson,55.7435,-97.8558,60.96,63,75,4.61,CA,1633210774
102,nalut,30.3333,10.85,75.4,35,0,8.97,LY,1633210774
103,matara,5.9485,80.5353,76.89,89,52,7.34,LK,1633210774
104,roma,43.2128,-75.4557,75.06,57,1,9.22,US,1633210774
105,podor,16.6527,-14.9587,80.55,74,40,6.91,MR,1633210774
106,nagram,26.6167,81.1333,75.25,84,20,5.03,IN,1633210775
107,avarua,-21.2078,-159.775,77.05,78,20,5.75,CK,1633210775
108,manaus,-3.1019,-60.025,79.3,100,75,8.05,BR,1633210748
109,katsuura,35.1333,140.3,69.19,84,1,3.91,JP,1633210775
110,bethel,41.3712,-73.414,73.92,67,1,3.44,US,1633210563
111,sao joao da barra,-21.6403,-41.0511,78.89,90,46,14.47,BR,1633210775
112,norsup,-16.0667,167.3833,79.68,84,100,12.84,VU,1633210775
113,fairbanks,64.8378,-147.7164,35.6,94,90,4.61,US,1633210656
114,hualmay,-11.0964,-77.6139,64.31,80,42,8.3,PE,1633210775
115,san agustin,20.5333,-103.4667,77.32,60,75,3.44,MX,1633210775
116,gloucester,51.8657,-2.2431,54.64,88,100,14.0,GB,1633210691
117,tartagal,-22.5164,-63.8013,91.54,45,67,4.88,AR,1633210775
118,polyarnyy,69.1989,33.4478,48.67,84,99,16.8,RU,1633210776
119,malindi,-3.2175,40.1191,75.27,87,92,10.92,KE,1633210776
120,albany,42.6001,-73.9662,72.18,72,46,5.88,US,1633210776
121,geraldton,-28.7667,114.6,57.61,82,40,6.91,AU,1633210776
122,norman wells,65.282,-126.8329,42.84,70,75,6.91,CA,1633210776
123,mayo,38.8876,-76.5119,80.22,74,1,5.99,US,1633210776
124,kudahuvadhoo,2.6708,72.8944,82.45,74,41,14.58,MV,1633210776
125,alice springs,-23.7,133.8833,63.95,55,0,10.36,AU,1633210776
126,dikson,73.5069,80.5464,33.57,94,100,9.86,RU,1633210776
127,sinnamary,5.3833,-52.95,80.74,80,98,9.73,GF,1633210777
128,nishihara,26.1842,127.7558,78.85,74,20,8.05,JP,1633210777
129,yining,29.0361,114.5636,72.66,78,0,1.99,CN,1633210777
130,umm lajj,25.0213,37.2685,82.38,57,3,7.34,SA,1633210777
131,pundaguitan,6.3711,126.1689,82.11,76,100,6.8,PH,1633210777
132,georgetown,5.4112,100.3354,79.9,88,20,1.99,MY,1633210551
133,celestun,20.8667,-90.4,84.13,71,54,14.92,MX,1633210777
134,awjilah,29.1081,21.2869,73.06,43,0,8.57,LY,1633210777
135,coihaique,-45.5752,-72.0662,45.21,65,90,8.05,CL,1633210777
136,certeju de sus,45.9667,22.9667,46.62,67,4,2.04,RO,1633210778
137,morgan city,29.6994,-91.2068,81.0,94,75,6.91,US,1633210778
138,akyab,20.15,92.9,79.84,86,99,6.44,MM,1633210681
139,oum hadjer,13.2954,19.6966,87.89,26,8,4.97,TD,1633210778
140,maceio,-9.6658,-35.7353,80.04,94,40,11.5,BR,1633210770
141,pevek,69.7008,170.3133,24.78,71,18,21.99,RU,1633210501
142,key west,24.5557,-81.7826,89.6,63,20,16.11,US,1633210656
143,mangochi,-14.4782,35.2645,78.22,50,6,0.36,MW,1633210778
144,osijek,45.5511,18.6939,55.22,81,0,4.61,HR,1633210778
145,normandin,48.8333,-72.5321,57.33,62,53,2.3,CA,1633210778
146,kruisfontein,-34.0033,24.7314,49.89,70,69,14.94,ZA,1633210779
147,kjollefjord,70.9457,27.3465,50.13,87,100,20.13,NO,1633210779
148,hambantota,6.1241,81.1185,75.54,100,57,2.3,LK,1633210779
